Index,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
0,Hobart,20,AU,1562878755,65,-42.88,147.33,46.4,43,17.22
1,Faanui,2,PF,1562879037,70,-16.48,-151.75,78.15,78.15,9.22
2,Ushuaia,75,AR,1562879038,93,-54.81,-68.31,39.2,37.4,20.8
3,Castro,90,CL,1562879039,93,-42.48,-73.76,46.4,46.4,12.75
4,Atuona,30,PF,1562879041,78,-9.8,-139.03,81.21,81.21,20.2
5,Mataura,100,NZ,1562879042,86,-46.19,168.86,44.01,44.01,5.01
6,Hilo,40,US,1562879043,58,19.71,-155.08,82.99,77,4.7
7,Busselton,65,AU,1562879045,74,-33.64,115.35,44.01,41,10.58
8,Puerto Ayora,20,EC,1562879046,57,-0.74,-90.35,80.6,73,16.11
9,Vorsma,75,RU,1562879048,93,55.99,43.28,59,57,2.24
10,Bluff,0,AU,1562879049,56,-23.58,149.07,54.21,54.21,2.95
11,Cabedelo,20,BR,1562879050,78,-6.97,-34.84,78.8,78.8,8.05
12,Abu Kamal,0,SY,1562879051,26,34.45,40.92,89.49,89.49,18.3
13,Tsuruoka,85,JP,1562879053,87,38.61,139.81,67.53,67.53,7.18
14,Vaini,96,IN,1562879054,90,15.34,74.49,76.35,76.35,2.33
15,Anchorage,90,US,1562879055,82,61.22,-149.89,63,55.99,6.93
16,Tuktoyaktuk,90,CA,1562879057,86,69.44,-133.03,39.2,39.2,12.75
17,Bowen,0,AU,1562879058,100,-20.01,148.25,62.01,57.2,3.36
18,Hermanus,100,ZA,1562879059,95,-34.42,19.24,57,55.99,5.01
19,Provideniya,75,RU,1562879060,81,64.42,-173.23,51.8,51.8,4.47
20,Saint-Philippe,75,CA,1562879062,78,45.36,-73.48,84.99,78.8,11.41
21,Upernavik,0,GL,1562879063,79,72.79,-56.15,45.93,45.93,7.05
22,Albany,75,US,1562879064,65,42.65,-73.75,82.99,71.6,13.87
23,Rikitea,26,PF,1562879066,82,-23.12,-134.97,73.65,73.65,16.73
24,Broken Hill,0,AU,1562878803,76,-31.97,141.45,50,50,12.75
25,Norman Wells,75,CA,1562879068,71,65.28,-126.83,51.8,51.8,16.11
26,Mar del Plata,0,AR,1562879069,61,-46.43,-67.52,43.59,43.59,6.62
27,Petropavlovsk-Kamchatskiy,90,RU,1562879071,100,53.05,158.65,53.6,53.6,2.24
28,Sheltozero,87,RU,1562879072,75,61.37,35.37,46.29,46.29,7.61
29,Kisangani,100,CD,1562879073,97,0.52,25.21,70.23,70.23,2.68
